# Cross section for CO2
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : CO2+e -> Vib010
# Process 1 : CO2+e -> Vib100
# Process 2 : CO2+e -> Vib001
# Process 3 : CO2+e -> 8.6
# Process 4 : CO2+e -> 9.3
# Process 5 : CO2+e -> 11.1
# Process 6 : CO2+e -> 12.4
# Process 7 : CO2+e -> 13.6
# Process 8 : CO2+e -> 15.5
# Process 9 : CO2+e -> 16.3
# Process 10 : CO2+e -> 17.0
# Process 11 : CO2+e -> 17.8
# Process 12 : CO2+e -> CI(1279)
# Process 13 : CO2+e -> CI(1329)
# Process 14 : CO2+e -> CI(1561)
# Process 15 : CO2+e -> CI(1657)
# Process 16 : CO2+e -> CO(A3Pi)+ O
# Process 17 : CO2+e -> CO(A1Pi) + O
# Process 18 : CO2+e -> CO+O(3S)
# Process 19 : CO2+e ->CO + O(5S) 
# Process 20 : CO2+e -> CO+ O(1S)
# Process 21 : CO2+e -> CO+ + O
# Process 22 : CO2+e -> CO + O+
# Process 23 : CO2+e -> C+ + O2
# Process 24 : CO2+e -> CO + O++
# Process 25 : CO2+e -> C++ + O2 
# Process 26 : CO2+e -> CO2++
# Process 27 : CO2+e -> CO2+(A) 
# Process 28 : CO2+e -> CO2+(B)
# Process 29 : CO2+e ->CO2+ 
# Process 30 : CO2 + e -> .9945 x CO2++(KSHELL) 0.0055 x CO2+(X) 0.0055 x Fluo-auger(X) 
4.393636273e+02	7.326457115e-16	3.222274896e-16	5.104468134e-19	2.662116929e-19	1.580345097e-18	1.058886108e-18	1.179281390e-18	1.351166310e-17	2.870610334e-17	5.938485332e-17	2.226735227e-18	8.224089427e-18	1.447298627e-18	1.174402752e-18	2.892237347e-19	1.045617469e-19	3.210552805e-19	6.208000016e-19	5.443555752e-17	6.801695260e-19	3.850654373e-19	2.689099260e-19	8.624232133e-18	1.966958562e-17	3.971636575e-17	1.868861671e-17	1.974832278e-19	2.032655263e-19	1.670782831e-18	5.615952635e-17	3.348630678e-17	1.452722300e-16	0.000000000e+00	
3.859368955e+02	7.927976771e-16	3.471026937e-16	5.625761912e-19	2.933881966e-19	1.741737772e-18	1.173019262e-18	1.303496808e-18	1.472719173e-17	3.151731923e-17	6.450937197e-17	2.422292916e-18	8.964033005e-18	1.573867184e-18	1.270630639e-18	3.095556953e-19	1.170799212e-19	3.565729967e-19	6.872971769e-19	5.860777460e-17	7.339410796e-19	4.208992641e-19	3.320711520e-19	9.237938483e-18	2.151153363e-17	4.433668796e-17	2.055748306e-17	2.240639461e-19	2.217204185e-19	1.772140705e-18	5.974222488e-17	3.568858697e-17	1.562092984e-16	0.000000000e+00	
3.389670457e+02	8.532305346e-16	3.755951607e-16	6.200839123e-19	3.233658189e-19	1.919781784e-18	1.297464800e-18	1.438593612e-18	1.600415902e-17	3.450531780e-17	6.989995053e-17	2.629751176e-18	9.742045064e-18	1.706538012e-18	1.371880102e-18	3.305972211e-19	1.306899441e-19	3.947488765e-19	7.586353710e-19	6.253910497e-17	7.896166131e-19	4.593237494e-19	4.101460019e-19	9.771062868e-18	2.310895321e-17	4.822138870e-17	2.212870125e-17	2.547211204e-19	2.234735708e-19	1.872365657e-18	6.327290837e-17	3.781293041e-17	1.647829132e-16	0.000000000e+00	
2.976737322e+02	9.176476264e-16	4.031939366e-16	6.835388260e-19	3.564400883e-19	2.116238274e-18	1.432700025e-18	1.585013436e-18	1.733595609e-17	3.765903479e-17	7.552991295e-17	2.848540719e-18	1.055330845e-17	1.844407874e-18	1.477643644e-18	3.521825711e-19	1.453562110e-19	4.353819932e-19	8.344630774e-19	6.618108459e-17	8.466886960e-19	4.962303944e-19	5.066877791e-19	1.044876221e-17	2.517098224e-17	5.266330380e-17	2.463584532e-17	2.784927597e-19	2.515305068e-19	2.054554501e-18	6.667050381e-17	3.979949429e-17	1.757294080e-16	0.000000000e+00	
2.613709177e+02	9.876530615e-16	4.390291343e-16	7.535735136e-19	3.929394477e-19	2.333065694e-18	1.579103416e-18	1.743076175e-18	1.871342245e-17	4.096081945e-17	8.136057389e-17	3.077673872e-18	1.139095164e-17	1.986210193e-18	1.587151660e-18	3.740861466e-19	1.609893555e-19	4.781097553e-19	9.141497464e-19	6.907226309e-17	9.067017863e-19	5.470595299e-19	5.867893114e-19	1.124003675e-17	2.738697309e-17	5.632784887e-17	2.670084317e-17	2.940509861e-19	2.700911900e-19	2.315446277e-18	6.983352863e-17	4.158175040e-17	1.851699268e-16	0.000000000e+00	
2.294554761e+02	1.054579422e-15	4.731551320e-16	8.308923348e-19	4.332293603e-19	2.572444707e-18	1.736913142e-18	1.912932250e-18	2.012444002e-17	4.438506972e-17	8.733885579e-17	3.315637116e-18	1.224565166e-17	2.130245678e-18	1.699308102e-18	3.960098321e-19	1.774282359e-19	5.223599822e-19	9.967040081e-19	7.171817655e-17	9.596184032e-19	5.894496016e-19	6.496463668e-19	1.197869856e-17	2.959554895e-17	5.997959064e-17	2.852676259e-17	2.736144541e-19	2.619138074e-19	2.523551391e-18	7.264056935e-17	4.308911931e-17	1.935495970e-16	0.000000000e+00	
2.013971717e+02	1.116766293e-15	5.053412498e-16	9.162807172e-19	4.777170359e-19	2.836806947e-18	1.906175529e-18	2.094503473e-18	2.155350886e-17	4.789673072e-17	9.339466686e-17	3.560263855e-18	1.310520539e-17	2.274307665e-18	1.812615919e-18	4.175687982e-19	1.944182767e-19	5.672948867e-19	1.080677823e-18	7.412791236e-17	1.020153779e-18	6.316928285e-19	6.949318172e-19	1.266482504e-17	3.132006243e-17	6.295760063e-17	3.002582301e-17	2.349756430e-19	2.776617350e-19	2.720800891e-18	7.495333268e-17	4.425065047e-17	2.006598602e-16	0.000000000e+00	
1.767298508e+02	1.196720579e-15	5.562257893e-16	1.010615930e-18	5.268568980e-19	3.128868363e-18	2.086681575e-18	2.287410384e-18	2.298131743e-17	5.144968310e-17	9.943808798e-17	3.808585543e-18	1.395408230e-17	2.415604690e-18	1.925092584e-18	4.382760670e-19	2.115862698e-19	6.117480805e-19	1.164058009e-18	7.576798778e-17	1.070116532e-18	6.664860905e-19	7.276120516e-19	1.329628967e-17	3.341346170e-17	6.507059445e-17	3.109309575e-17	2.062414671e-19	2.374024381e-19	2.858116021e-18	7.662312526e-17	4.499953520e-17	2.086488305e-16	0.000000000e+00	
1.550436963e+02	1.271898590e-15	6.063940593e-16	1.114879647e-18	5.811569389e-19	3.451668108e-18	2.277889399e-18	2.490883694e-18	2.438432551e-17	5.498506859e-17	1.053564570e-16	4.056659988e-18	1.477298064e-17	2.550684485e-18	2.034177362e-18	4.575264788e-19	2.284123651e-19	6.541576698e-19	1.244149559e-18	7.721057084e-17	1.104339348e-18	6.960698223e-19	7.577509321e-19	1.394631772e-17	3.460310584e-17	6.724643612e-17	3.234496344e-17	1.521178491e-19	1.783489072e-19	2.909861596e-18	7.750127218e-17	4.527802350e-17	2.137135707e-16	0.000000000e+00	
1.359784197e+02	1.343626200e-15	6.542236432e-16	1.230172686e-18	6.411861486e-19	3.808614141e-18	2.478830225e-18	2.703657250e-18	2.573438571e-17	5.842962993e-17	1.110114964e-16	4.299377003e-18	1.553842149e-17	2.675365954e-18	2.136634061e-18	4.745812295e-19	2.442010568e-19	6.925016901e-19	1.317460025e-18	7.831686416e-17	1.140024486e-18	7.214672234e-19	7.819723222e-19	1.451868808e-17	3.675776115e-17	6.781806443e-17	3.293756082e-17	1.175929913e-19	1.456227268e-19	2.931912766e-18	7.745323391e-17	4.504213697e-17	2.197985112e-16	0.000000000e+00	
