# Cross section for O2
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : O2 + e -> O2(v'=1)
# Process 1 : O2+e -> O2(B3Su)
# Process 2 : O2+e -> O2(9.9)
# Process 3 : O2 + e -> O2(v'=2)
# Process 4 : O2 + e -> O2(v'=3)
# Process 5 : O2 + e -> O2(A1Dg)
# Process 6 : O2 + e -> O2(b1Sg+)
# Process 7 : O2 + e -> O2(A3Su A'3Du c1Su)
# Process 8 : O2 + e -> O2(B3Su)
# Process 9 : O2 + e -> O2(B3Su - LB)
# Process 10 : O2 + e -> O2(B3Su - 2B)
# Process 11 : O2 + e -> O* + O* (total dissociation)
# Process 12 : O2+e->O2+
# Process 13 : O2+e->O+(4S)+O(2S)
# Process 14 : O2+e->O++ +O
# Process 15 : O2+e->O2++
# Process 16 : O2 + e -> .9931 x O2++(X-KSHELL) 0.0069 x O+(X) 0.0069 x Fluo-auger(X) 
# Process 17 : O2+e -> O2+ - first negative band
# Process 18 : O2+e -> O2+ - second negative band
# Process 19 : O2 + e -> O(1S) + O
# Process 20 : O2+e->O(777.4nm)
1.600000000e+03	1.577891117e-16	8.061928964e-17	5.343750000e-20	4.204329636e-18	7.013452244e-19	3.238106519e-44	9.670797618e-45	4.509651383e-22	6.629527763e-23	2.720325038e-23	1.615185400e-20	1.615185400e-21	1.515800259e-22	5.884597015e-18	4.343016363e-17	2.194030940e-17	5.040982782e-19	3.346982539e-19	9.838004438e-20	1.081545067e-17	3.745680253e-18	4.558842819e-19	5.420000000e-19	
1.406414536e+03	1.723971623e-16	8.766844043e-17	6.079288704e-20	4.616597058e-18	7.803960140e-19	1.746630827e-43	5.273054246e-44	5.797685544e-22	8.645946699e-23	3.858081631e-23	2.071783017e-20	2.071783017e-21	1.987430035e-22	6.500972873e-18	4.751418015e-17	2.421625837e-17	5.541049058e-19	3.683343708e-19	9.339206054e-20	1.173046392e-17	4.072004451e-18	5.018001790e-19	6.028700499e-19	
1.236114969e+03	1.882599717e-16	9.534077839e-17	6.916832347e-20	5.065100564e-18	8.679403675e-19	9.434879436e-43	2.879329944e-43	7.455204358e-22	1.127823232e-22	5.473330346e-23	2.658021696e-20	2.658021696e-21	2.606406948e-22	7.176142900e-18	5.190352970e-17	2.670528828e-17	6.091214128e-19	4.049214633e-19	8.756843762e-20	1.269330120e-17	4.417499067e-18	5.517634463e-19	6.714114754e-19	
1.086396938e+03	2.054528857e-16	1.036870240e-16	7.870051638e-20	5.552225921e-18	9.647444468e-19	5.098926435e-42	1.573001415e-42	9.587278238e-22	1.471303138e-22	7.765597211e-23	3.410384744e-20	3.410384744e-21	3.418423771e-22	7.914175011e-18	5.660184626e-17	2.942130829e-17	6.696183779e-19	4.446102384e-19	7.959310705e-20	1.369907755e-17	4.781007455e-18	6.059850874e-19	7.474714763e-19	
9.547730637e+02	2.247137764e-16	1.135486752e-16	8.955007556e-20	6.080762897e-18	1.071677764e-18	2.757127914e-41	8.598131465e-42	1.233009037e-21	1.919554462e-22	1.101912083e-22	4.376057931e-20	4.376057931e-21	4.483812823e-22	8.719606721e-18	6.142520299e-17	3.243479918e-17	7.361462343e-19	4.871490671e-19	7.008614019e-20	1.474133782e-17	5.160934511e-18	6.677952023e-19	8.283617918e-19	
8.390565790e+02	2.455246806e-16	1.234059761e-16	1.019001604e-19	6.653685707e-18	1.189666414e-18	1.491775460e-40	4.702720236e-41	1.585905103e-21	2.504615159e-22	1.563776467e-22	5.615680542e-20	5.615680542e-21	5.881826220e-22	9.597035655e-18	6.736587303e-17	3.574645567e-17	8.056679875e-19	5.361968350e-19	5.786954992e-20	1.581101101e-17	5.554897217e-18	7.259689189e-19	9.194412577e-19	
7.373249979e+02	2.663520843e-16	1.331785723e-16	1.159597196e-19	7.274177759e-18	1.319689728e-18	8.077100920e-40	2.573959268e-40	2.040016489e-21	3.268358678e-22	2.219554143e-22	7.207204697e-20	7.207204697e-21	7.716600410e-22	1.055104947e-17	7.285638754e-17	3.936129896e-17	9.791264589e-19	5.904194843e-19	4.276308960e-20	1.689580117e-17	5.959534494e-18	7.931392629e-19	1.019123657e-18	
6.478881762e+02	2.913153117e-16	1.451172564e-16	1.319672177e-19	7.945661831e-18	1.462774160e-18	4.376786622e-39	1.409951715e-39	2.624472404e-21	4.265532190e-22	3.150858703e-22	9.250872618e-20	9.250872618e-21	1.012501659e-21	1.158613482e-17	8.000593904e-17	4.320543573e-17	1.080066181e-18	6.480815360e-19	2.585655306e-20	1.797945591e-17	6.370278278e-18	8.706752558e-19	1.130788306e-18	
5.692602321e+02	3.170036846e-16	1.586056345e-16	1.501949287e-19	8.671835658e-18	1.619983459e-18	2.373839048e-38	7.730460724e-39	3.376831440e-21	5.567742486e-22	4.473775878e-22	1.187564068e-19	1.187564068e-20	1.328706729e-21	1.270656062e-17	8.581803291e-17	4.740104181e-17	1.177466559e-18	7.110156272e-19	5.576860474e-21	1.904088861e-17	6.781078244e-18	9.496488311e-19	1.255461885e-18	
5.001348599e+02	3.441732878e-16	1.719728498e-16	1.709538903e-19	9.456712183e-18	1.792403932e-18	1.288837479e-37	4.242876571e-38	4.345542360e-21	7.268689576e-22	6.353499871e-22	1.524747814e-19	1.524747814e-20	1.743953976e-21	1.391623003e-17	9.212110787e-17	5.242726874e-17	1.354178354e-18	7.864090312e-19	0.000000000e+00	2.005312585e-17	7.184071053e-18	1.019858073e-18	1.389724501e-18	
