# Cross section for H2
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : H2+e -> H2(rot)
# Process 1 : H2+e -> H2(v1)
# Process 2 : H2+e -> H2(v2)
# Process 3 : H2+e -> H2(B1Su)
# Process 4 : H2+e -> H2(Bprime)
# Process 5 : H2+e -> H2(Bseconde)
# Process 6 : H2+e -> H2(C1Pu)
# Process 7 : H2+e -> H2(D)
# Process 8 : H2+e -> H2(Dprime)
# Process 9 : H2+e -> H2()
# Process 10 : H2+e -> H2(abc3)
# Process 11 : H2+e -> H2(Rydberg)
# Process 12 : H2+e -> H2+
# Process 13 : H2+e -> H+ + H(1s)
# Process 14 : H2 -> H(2p)
1.600000000e+03	4.711736447e-17	1.727762257e-17	1.703679727e-18	5.750031512e-21	2.521239276e-20	3.929102782e-18	8.863766623e-19	2.735506175e-19	3.806468868e-18	8.288047025e-19	3.413061228e-19	4.974127679e-19	7.761206941e-25	2.390239199e-18	1.370000000e-17	5.110186944e-19	9.408185581e-19	
1.406414536e+03	5.290974240e-17	1.953424035e-17	1.892185304e-18	6.911958115e-21	2.867367160e-20	4.386557805e-18	9.741875987e-19	3.007050198e-19	4.220913446e-18	9.146563090e-19	3.731410535e-19	5.446257827e-19	1.386002778e-24	2.842375857e-18	1.524061708e-17	5.983412285e-19	1.051608539e-18	
1.236114969e+03	6.110749479e-17	2.381641812e-17	2.100493134e-18	8.349246185e-21	3.272133956e-20	4.895962641e-18	1.069463189e-18	3.301782041e-19	4.677741515e-18	1.008523032e-18	4.073035473e-19	5.954569680e-19	2.513411016e-24	3.380538775e-18	1.690564194e-17	7.035163276e-19	1.175184295e-18	
1.086396938e+03	6.998189358e-17	2.833741301e-17	2.330351546e-18	9.912794477e-21	3.689252974e-20	5.462638344e-18	1.172530645e-18	3.620742449e-19	5.180477601e-18	1.110923297e-18	4.438073936e-19	6.499728052e-19	4.316595912e-24	4.020792243e-18	1.873679501e-17	8.144167482e-19	1.312891049e-18	
9.547730637e+02	7.939791540e-17	3.288695753e-17	2.583757142e-18	1.210624084e-20	4.242464605e-20	6.111970140e-18	1.279231809e-18	3.963400137e-19	5.756014007e-18	1.222119745e-18	4.833878567e-19	7.094766955e-19	8.103266749e-24	4.765946646e-18	2.072226917e-17	9.596197768e-19	1.466285873e-18	
8.390565790e+02	8.893932422e-17	3.748627569e-17	2.862849779e-18	1.443213942e-20	4.796943128e-20	6.765949170e-18	1.402556953e-18	4.335818319e-19	6.296510190e-18	1.342590310e-18	5.246065121e-19	7.703866200e-19	1.409687334e-23	5.316219477e-18	2.292978114e-17	1.108512183e-18	1.637088704e-18	
7.373249979e+02	1.028041191e-16	4.590140797e-17	3.169914441e-18	1.742230224e-20	5.471705101e-20	7.376745565e-18	1.545548067e-18	4.809292455e-19	6.971391478e-18	1.478471538e-18	5.763679636e-19	8.490439128e-19	2.551333939e-23	5.940414065e-18	2.532334080e-17	1.291181051e-18	1.827198130e-18	
6.478881762e+02	1.202523310e-16	5.753802169e-17	3.507380928e-18	2.094297548e-20	6.222906869e-20	7.981841468e-18	1.691325066e-18	5.269224565e-19	7.659026533e-18	1.623604191e-18	6.319860986e-19	9.359405128e-19	4.556258274e-23	6.504859304e-18	2.796978661e-17	1.497442931e-18	2.100975650e-18	
5.692602321e+02	1.385436253e-16	6.953938778e-17	3.877820685e-18	2.514598701e-20	7.071518163e-20	8.769410403e-18	1.864128789e-18	5.807670970e-19	8.330763288e-18	1.766970486e-18	6.851934514e-19	1.024033341e-18	8.107109506e-23	7.190214397e-18	3.081406921e-17	1.721667617e-18	2.283256558e-18	
5.001348599e+02	1.567960385e-16	8.111361480e-17	4.283939962e-18	3.039777018e-20	8.074002972e-20	9.678536838e-18	2.041867223e-18	6.335126189e-19	8.968045314e-18	1.897548253e-18	7.414841418e-19	1.122667831e-18	1.473653251e-22	7.879019538e-18	3.399350441e-17	1.971164346e-18	2.359848090e-18	
4.393636273e+02	1.760691254e-16	9.285926666e-17	4.728568304e-18	3.624044611e-20	9.129699621e-20	1.066832516e-17	2.260925247e-18	6.855320778e-19	9.705308850e-18	2.069099288e-18	8.085108322e-19	1.214931470e-18	2.564210836e-22	8.540169652e-18	3.738974482e-17	2.221080793e-18	2.789868395e-18	
3.859368955e+02	1.958082760e-16	1.045318640e-16	5.214641136e-18	4.391568569e-20	1.044164209e-19	1.163603506e-17	2.465636078e-18	7.476373199e-19	1.066266067e-17	2.239449500e-18	8.750675126e-19	1.328467104e-18	4.696787764e-22	9.190928833e-18	4.108678736e-17	2.470867448e-18	3.209432229e-18	
3.389670457e+02	2.161708946e-16	1.161283061e-16	5.745174923e-18	5.259842329e-20	1.184500363e-19	1.278041022e-17	2.693420435e-18	8.203426482e-19	1.163363908e-17	2.423521980e-18	9.469971650e-19	1.454894116e-18	8.292101633e-22	1.003727561e-17	4.503718730e-17	2.732697118e-18	3.565150242e-18	
2.976737322e+02	2.369140498e-16	1.277857127e-16	6.323233012e-18	6.370905980e-20	1.354282836e-19	1.399015630e-17	2.948200058e-18	8.979185675e-19	1.259335883e-17	2.594121643e-18	1.017377455e-18	1.576125058e-18	1.516662872e-21	1.088377057e-17	4.915401323e-17	3.046373463e-18	3.903034892e-18	
