17.2183 0.000515594
18.0986 0.14165
18.4507 0.316675
18.9789 0.407784
19.6831 0.441763
20.0352 0.447145
21.4437 0.438317
23.0282 0.418788
26.0211 0.399359
28.1338 0.390581
29.8944 0.383564
32.3592 0.369454
33.5915 0.362399
34.4718 0.362462
36.0563 0.353647
38.5211 0.352037
39.0493 0.350289
40.4577 0.348604
41.162 0.346869
43.8028 0.343486
44.6831 0.341763
48.0282 0.340216
49.2606 0.338519
51.1972 0.338657
52.2535 0.336947
54.3662 0.337098
56.4789 0.335463
58.4155 0.333815
59.8239 0.333916
62.1127 0.334079
63.8732 0.334205
66.162 0.334369
68.0986 0.334507
